ลำดับ,รหัสโรงเรียน,ชื่อโรงเรียน,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,โทรศัพท์,พิกัดละติจูด,พิกัดลองจิจูด,การรับอุดหนุน,สถานะโรงเรียน
37,1310100865,วิทยาลัยเทคโนโลยีไทยอาชีวศึกษา,40,,จรัญสนิทวงศ์71,จรัญสนิทวงศ์,บางพลัด,บางพลัด,กรุงเทพมหานคร,02-433-2652,13.7859797,100.4956566,ไม่รับอุดหนุน,เปิดกิจการ
38,1310100866,วิทยาลัยเทคโนโลยีพระรามหก,686,,,จรัญสนิทวงศ์,บางอ้อ,บางพลัด,กรุงเทพมหานคร,02-423-0131,13.8039232,100.5122238,รับอุดหนุน,เปิดกิจการ
39,1310100867,พณิชยการบางอ้อ,,,,,,,,,,,ไม่รับอุดหนุน,เลิกกิจการ
40,1310100869,วิทยาลัยอาชีวศึกษาเทคนิควิทยา,588/23,,4,ประชาสงเคราะห์,ดินแดง,ดินแดง,กรุงเทพมหานคร,02-246-3577,13.7645781,100.5586828,รับอุดหนุน,เปิดกิจการ
41,1310100870,วิทยาลัยอาชีวศึกษาพณิชยการจำนงค์,1,,สมปรารถนา,ประชาสงเคราะห์,ดินแดง,ดินแดง,กรุงเทพมหานคร,22485196,13.7693971,100.5605383,รับอุดหนุน,เปิดกิจการ
42,1310100871,วิทยาลัยเทคโนโลยีบริหารธุรกิจจำนงค์,1,,สมปรารถนา,ประชาสงเคราะห์,ดินแดง,ดินแดง,กรุงเทพมหานคร,02 248 5196,13.7691014,100.5605061,ไม่รับอุดหนุน,เปิดกิจการ
43,1310100872,วิทยาลัยเทคโนโลยีพระนครบริหารธุรกิจ,78/1,,,,คลองกุ่ม,บึงกุ่ม,กรุงเทพมหานคร,23749617,,,ไม่รับอุดหนุน,เลิกกิจการ
44,1310100873,โรงเรียนอัสสัมชัญพาณิชยการ,101,,สาทร 13,สาทรใต้,ยานนาวา,สาทร,กรุงเทพมหานคร,02-675-5082,13.7210226,100.5279077,รับอุดหนุน,เปิดกิจการ
45,1310100874,วิทยาลัยเทคโนโลยีสารสาสน์กนกอนุสรณ์,143,,จันทน์ 43 (วัดไผ่เงิน),จันทน์,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,0-2211-4123,,,ไม่รับอุดหนุน,เลิกกิจการ
46,1310100875,วิทยาลัยเทคโนโลยีกิตติบริหารธุรกิจ,176,,,จันทน์ 18/7,ทุ่งวัดดอน,สาทร,กรุงเทพมหานคร,02-287-4460,13.7093915,100.5273896,รับอุดหนุน,เปิดกิจการ
47,1310100876,วิทยาลัยเทคโนโลยีวิมลบริหารธุรกิจ,279,3,,ริมคลองปะปา,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,02-585-0079,13.8189628,100.5369577,รับอุดหนุน,เปิดกิจการ
48,1310100879,โรงเรียนเทคนิคกรุงเทพพณิชยการ,4-ต.ค.,,,ประชาราษฎร์สาย 1,บางซื่อ,บางซื่อ,กรุงเทพมหานคร,25852028,13.8113352,100.5222415,ไม่รับอุดหนุน,เปิดกิจการ
49,1310100881,วิทยาลัยเทคโนโลยีวราธิปบริหารธุรกิจ,46,,,เทศบาลนิมิตเหนือ,ลาดยาว,จตุจักร,กรุงเทพมหานคร,25884085,13.842799,100.5455983,รับอุดหนุน,เปิดกิจการ
50,1310100886,วิทยาลัยอาชีวศึกษาสันติราษฎร์ในพระอุปถัมภ์ สมเด็จพระเจ้าภคินีเธอ เจ้าฟ้าเพชรรัตนราชสุดา สิริโสภาพัณณวดี,2,,พหลโยธิน 24 แยก 2-3,พหลโยธิน,จอมพล,จตุจักร,กรุงเทพมหานคร,02-939-3000,13.8195938,100.5686307,รับอุดหนุน,เปิดกิจการ
51,1310100887,วิทยาลัยอาชีวศึกษาเซนต์จอห์น,25,,พหลโยธิน 23,พหลโยธิน,จตุจักร,จตุจักร,กรุงเทพมหานคร,02-930-3667,,,ไม่รับอุดหนุน,เลิกกิจการ
52,1310100888,เซนต์จอห์นเทคโนโลยี,,,,,,,,,,,ไม่รับอุดหนุน,เลิกกิจการ
53,1310100890,วิทยาลัยเทคโนโลยีช่างฝีมือปัญจวิทยา,39/48,3,ลำลูกกา65,ลำลูกกา,ลาดสวาย,ลำลูกกา,ปทุมธานี,02-5328090-3,13.9331581,100.6891424,รับอุดหนุน,เปิดกิจการ
54,1310100891,วิทยาลัยเทคโนโลยีไทยวิจิตรศิลป,42,,พหลโยธิน35,พหลโยธิน,ลาดยาว,จตุจักร,กรุงเทพมหานคร,025-121-415-6,,,ไม่รับอุดหนุน,เลิกกิจการ
55,1310100892,วิทยาลัยอาชีวศึกษาเอกวิทย์บริหารธุรกิจ,5,,ลาดกระบัง 34/1,ลาดกระบัง,ลาดกระบัง,ลาดกระบัง,กรุงเทพมหานคร,023-272-9924,13.721197,100.7460857,รับอุดหนุน,เปิดกิจการ
56,1310100893,วิทยาลัยเทคโนโลยีศรีวิกรม์บริหารธุรกิจ,1020/1,,,สุขุมวิท,พระโขนง,คลองเตย,กรุงเทพมหานคร,02-712-1001-4,,,ไม่รับอุดหนุน,เลิกกิจการ
57,1310100894,วิทยาลัยเทคโนโลยีพณิชยการเจ้าพระยา,34,,,เพชรบุรี,ทุ่งพญาไท,ราชเทวี,กรุงเทพมหานคร,02-215-8158,,,ไม่รับอุดหนุน,เลิกกิจการ
58,1310100896,โรงเรียนกรุงเทพการบัญชีวิทยาลัย,588,,,เพชรบุรี,ถนนเพชรบุรี,ราชเทวี,กรุงเทพมหานคร,02-208-9802,13.751222,100.5352439,รับอุดหนุน,เปิดกิจการ
59,1310100897,วิทยาลัยอาชีวศึกษาดุสิตพณิชยการ,438/17,,ราชวิถี 5,ราชวิถี,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,02-246-8342,13.762765,100.540239,รับอุดหนุน,เปิดกิจการ
60,1310100898,วิทยาลัยเทคโนโลยีดอนบอสโก,1643/3,,,เพชรบุรีตัดใหม่,มักกะสัน,ราชเทวี,กรุงเทพมหานคร,26529625,13.7501451,100.5597942,รับอุดหนุน,เปิดกิจการ
61,1310100899,วิทยาลัยเทคโนโลยีสยามธุรกิจ ในพระอุปถัมภ์สมเด็จพระเจ้าภคินีเธอ เจ้าฟ้าเพชรรัตนราชสุดา สิริโสภาพัณณวดี,94,,ราชปรารภ 5,ราชปรารภ,ถนนพญาไท,ราชเทวี,กรุงเทพมหานคร,02-251-5088,13.754642,100.541402,รับอุดหนุน,เปิดกิจการ
62,1310100900,วิทยาลัยอาชีวศึกษาเทคนิคบริหารธุรกิจกรุงเทพ,88,,สุขุมวิท 73,สุขุมวิท,พระโขนงเหนือ,วัฒนา,กรุงเทพมหานคร,02-311-2339,13.7106914,100.5992507,รับอุดหนุน,เปิดกิจการ
63,1310100901,วิทยาลัยเทคโนโลยีพิชญเกษม,3-ม.ค.,,ปรีดีพนมยงค์ 37,สุขุมวิท 71,คลองตันเหนือ,วัฒนา,กรุงเทพมหานคร,02-391-9030,13.7312171,100.5947053,รับอุดหนุน,เปิดกิจการ
64,1310100902,วิทยาลัยเทคโนโลยีกรุงธน,1,,เพชรเกษม 98,เพชรเกษม,บางแคเหนือ,บางแค,กรุงเทพมหานคร,02-421-1291,13.7095164,100.3822571,รับอุดหนุน,เปิดกิจการ
65,1310100904,วิทยาลัยเทคโนโลยีพณิชยการภาษานุสรณ์บางแค,374,,,เพชรเกษม,บางแคเหนือ,บางแค,กรุงเทพมหานคร,02-455-0033,13.7126753,100.4174268,รับอุดหนุน,เปิดกิจการ
66,1310100905,วิทยาลัยเทคโนโลยีบุษยรัตน์บริหารธุรกิจ,32/6,4,,บางแค,บางแค,บางแค,กรุงเทพมหานคร,02-801-1181,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
67,1310100907,วิทยาลัยเทคโนโลยีรัตนโกสินทร์,95/151,,แจ้งวัฒนะซอย 3,แจ้งวัฒนะซอย,ตลาดบางเขน,หลักสี่,กรุงเทพมหานคร,025-213-9501,13.881897,100.5826536,รับอุดหนุน,เปิดกิจการ
68,1310100908,วิทยาลัยเทคโนโลยีสยามบริหารธุรกิจ,6/599,,พหลโยธิน52 แยก11(เดชศิริ),พหลโยธิน,คลองถนน,สายไหม,กรุงเทพมหานคร,029-726-1118,13.893856,100.616973,รับอุดหนุน,เปิดกิจการ
69,1310100909,เทคโนโลยีดุสิต,,,,,,,,,,,ไม่รับอุดหนุน,เลิกกิจการ
70,1310100910,วิทยาลัยเทคโนโลยีทักษิณาบริหารธุรกิจ,850,,,รามอินทรา กม.12,คันนายาว,คันนายาว,กรุงเทพมหานคร,02-517-3999,13.812156,100.6902471,รับอุดหนุน,เปิดกิจการ
71,1310100912,วิทยาลัยเทคโนโลยีมีนบุรีโปลีเทคนิค,620,,สามวา,สามวา,บางชัน,คลองสามวา,กรุงเทพมหานคร,02-906-2949,13.8464204,100.7272909,รับอุดหนุน,เปิดกิจการ
72,1310100913,นิดาบริหารธุรกิจและวิศวกรรม,,,,,บางนา,บางนา,กรุงเทพมหานคร,,,,ไม่รับอุดหนุน,เลิกกิจการ
73,1310100914,วิทยาลัยเทคโนโลยีอรรถวิทย์พณิชยการ,280,,,สรรพาวุธ,บางนา,บางนา,กรุงเทพมหานคร,02-744-8450,13.6744361,100.6015969,รับอุดหนุน,เปิดกิจการ
74,1310100916,วิทยาลัยเทคโนโลยีปิ่นมณฑล,13/13,17,,พุทธมณฑลสาย2,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,02-885-1040,13.7923298,100.391626,รับอุดหนุน,เปิดกิจการ
75,1310100917,วิทยาลัยเทคโนโลยีโพลีกรุงเทพ,136/13,17,สวนผัก,,ศาลาธรรมสพน์,ทวีวัฒนา,กรุงเทพมหานคร,028-851-7934,13.7893932,100.4083466,รับอุดหนุน,เปิดกิจการ
76,1310100952,วิทยาลัยเทคโนโลยียานยนต์,8,,กาญจนาภิเษก 7,,บางแคเหนือ,บางแค,กรุงเทพมหานคร,028042171-2,13.726565,100.40409,ไม่รับอุดหนุน,เปิดกิจการ
77,1310101170,วิทยาลัยเทคโนโลยีเกษมสันต์บริหารธุรกิจ,28,1,เฉลิมพระเกียรติ ร.9 (38),เฉลิมพระเกียรติ ร.9,ดอกไม้,ประเวศ,กรุงเทพมหานคร,023280943-4,13.6890171,100.6767358,รับอุดหนุน,เปิดกิจการ
78,1310101184,วิทยาลัยเทคโนโลยีปทีปพลีผล,1019,,,บางขุนเทียน-ชายทะเล,ท่าข้าม,บางขุนเทียน,กรุงเทพมหานคร,02-453-6400,13.6081254,100.4386851,รับอุดหนุน,เปิดกิจการ
79,1310101190,วิทยาลัยเทคโนโลยีครัววันดี,8,,รามคำแหง 25,รามคำแหง ,หัวหมาก,บางกะปิ,กรุงเทพมหานคร,02-718-6254,13.7548991,100.6119159,รับอุดหนุน,เปิดกิจการ
80,1310101192,วิทยาลัยเทคโนโลยีธุรกิจแฟชั่นนานาชาติ,420/134,,หทัยราษฏร์ 33/2,เลียบคลองสอง,บางชัน,คลองสามวา,กรุงเทพมหานคร,02-1302422,13.8551616,100.7215448,รับอุดหนุน,เปิดกิจการ
81,1310101194,วิทยาลัยอาชีวศึกษามีนบุรีบริหารธุรกิจ,4,,,หทัยราษฎร์,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,02-540-0056,,,รับอุดหนุน,เปิดกิจการ
82,1310101197,วิทยาลัยเทคโนโลยีบริหารธุรกิจมีนบุรี กรุงเทพ,44/59,,,หทัยราษฏร์,มีนบุรี,มีนบุรี,กรุงเทพมหานคร,02-1813042,13.8352292,100.7201494,รับอุดหนุน,เปิดกิจการ
83,1310102964,วิทยาลัยอาชีวศึกษาเจริญพัฒนาบริหารธุรกิจ,429,,,สามวา,บางชัน,คลองสามวา,กรุงเทพมหานคร,02-175-3648,13.84634598,100.7270829,รับอุดหนุน,เปิดกิจการ
84,1310102971,วิทยาลัยเทคโนโลยีธุรกิจการอาหารไทยและนานาชาติ,1004,,,พระราม3,บางโพงพาง,ยานนาวา,กรุงเทพมหานคร,02-682-7644,13.6758368,100.5454494,รับอุดหนุน,เปิดกิจการ
85,1310103000,วิทยาลัยเทคโนโลยีธนบุรีบริหารธุรกิจ,21/19,4,เอกชัย 114,เอกชัย,บางบอน,บางบอน,กรุงเทพมหานคร,02-450-3884-5,,,ไม่รับอุดหนุน,ยื่นขอเลิกกิจการ/ไม่จัดการเรียนการสอน
86,1310106742,วิทยาลัยอาชีวศึกษาเทคโนโลยีเอเชีย,581,,,เลียบคลองภาษีเจริญฝั่งเหนือ,หนองแขม,หนองแขม,กรุงเทพมหานคร,24206465,13.680063,100.3422187,รับอุดหนุน,เปิดกิจการ
87,1310106743,โรงเรียนจิตรลดา(สายวิชาชีพ),สำนักพระราชวัง ,,,ศรีอยุธยา,ดุสิต,ดุสิต,กรุงเทพมหานคร,22826786,,,ไม่รับอุดหนุน,เลิกกิจการ
88,1310201019,วิทยาลัยอาชีวศึกษาศาสนบริหารธุรกิจ,73,9,,มิตรไมตรี,หนองจอก,หนองจอก,กรุงเทพมหานคร,02-989-6401,13.8585547,100.8533108,รับอุดหนุน,เปิดกิจการ
89,1310201020,วิทยาลัยเทคโนโลยีบริหารธุรกิจยานนาวา,258/2,,ซอยสาธุประดิษฐ์ 19 ,ซอยสาธุประดิษฐ์ ,ช่องนนทรี,ยานนาวา,กรุงเทพมหานคร,20204038,13.6997169,100.5328188,รับอุดหนุน,เปิดกิจการ
90,1310201021,วิทยาลัยเทคโนโลยีสารสาสน์เซนต์ปีเตอร์,99/1,,,บางบอน,บางบอน,บางบอน,กรุงเทพมหานคร,02-409-2891,13.6060855,100.5048599,รับอุดหนุน,เปิดกิจการ
91,1311010240,วิทยาลัยเทคโนโลยีการออกแบบราฟเฟิลส์,,,,,,,,,,,ไม่รับอุดหนุน,เลิกกิจการ
92,1311100107,วิทยาลัยเทคโนโลยีสมุทรปราการ (ช.เทค),330,2,อู่ทอง,แพรกษา,ท้ายบ้านใหม่,เมืองสมุทรปราการ,สมุทรปราการ,02-382-7472,13.5794202,100.6198109,รับอุดหนุน,เปิดกิจการ
93,1311100109,โรงเรียนเกริกวิทยาลัย,18-ก.ย.,6,สนามบินสุวรรณภูมิ,บางนา-ตราด กม. 15,บางโฉลง,บางพลี,สมุทรปราการ,023-125-1156,13.6343,100.7412041,รับอุดหนุน,เปิดกิจการ
94,1311100110,วิทยาลัยเทคโนโลยีบริหารธุรกิจสมุทรปราการ,6-ก.ย.,3,,เทพารักษ์  กม.9,บางพลีใหญ่,บางพลี,สมุทรปราการ,02-385-5509,13.610863,100.669772,รับอุดหนุน,เปิดกิจการ
95,1311100111,วิทยาลัยเทคโนโลยีไทย-ไต้หวัน (บีดีไอ),46/7,12,บีดีไอ,บางพลี-กิ่งแก้ว,บางพลีใหญ่,บางพลี,สมุทรปราการ,02-337-3101,13.6204415,100.7084733,รับอุดหนุน,เปิดกิจการ
96,1311100120,วิทยาลัยเทคโนโลยีสุวรรณภูมิบริหารธุรกิจ,63/6,21,,คลองอาเสี่ย,บางพลีใหญ่,บางพลี,สมุทรปราการ,023-465-3618,13.577742,100.6891826,รับอุดหนุน,เปิดกิจการ
97,1311100142,วิทยาลัยเทคโนโลยีเกวลินบริหารธุรกิจ,120/20,16,,เทพารักษ์,บางเสาธง,บางเสาธง,สมุทรปราการ,02-705-3536,13.567927,100.7915709,รับอุดหนุน,เปิดกิจการ
98,1311100146,วิทยาลัยเทคโนโลยีไทยโกลบอลบริหารธุรกิจ,99/553,8,,ศรีนครินทร์,บางเมือง,เมืองสมุทรปราการ,สมุทรปราการ,023881541-2,13.592416,100.617413,รับอุดหนุน,เปิดกิจการ
99,1312100094,วิทยาลัยเทคโนโลยีพงษ์สวัสดิ์,14-พ.ค.,6,,พิบูลสงคราม,สวนใหญ่,เมืองนนทบุรี,นนทบุรี,02-967-3751,13.8358968,100.4983421,รับอุดหนุน,เปิดกิจการ
100,1312100095,วิทยาลัยเทคโนโลยีพณิชยการนนทบุรี,1-ก.พ.,8,,เลี่ยงเมืองนนทบุรี,บางกระสอ,เมืองนนทบุรี,นนทบุรี,021021823 0838453957,13.8615071,100.4922248,รับอุดหนุน,เปิดกิจการ
101,1312100097,วิทยาลัยเทคโนโลยีปัญญาภิวัฒน์,10,,งามวงศ์วาน 23,งามวงศ์วาน,บางเขน,เมืองนนทบุรี,นนทบุรี,02-821-2558,13.8588048,100.5365106,รับอุดหนุน,เปิดกิจการ
102,1312100098,วิทยาลัยเทคโนโลยีพัฒนวิทย์บริหารธุรกิจ,114,5,นนทบุรี 46,สนามบินน้ำ,ท่าทราย,เมืองนนทบุรี,นนทบุรี,02-580-1111,,,ไม่รับอุดหนุน,ไม่มีนักเรียน/ไม่จัดการเรียนการสอน
103,1312100099,วิทยาลัยเทคโนโลยีวานิชบริหารธุรกิจ,41/1,14,วัดสังวร,กาญจนาภิเษก,บางม่วง,บางใหญ่,นนทบุรี,02-924-7601,13.8463863,100.4166343,รับอุดหนุน,เปิดกิจการ
104,1312100101,วิทยาลัยอาชีวศึกษาดุสิตพณิชยการ นนทบุรี,9,4,,บางกรวย - ไทรน้อย,โสนลอย,บางบัวทอง,นนทบุรี,02-571-2690,13.9099744,100.4234284,รับอุดหนุน,เปิดกิจการ
105,1312100102,วิทยาลัยเทคโนโลยีพณิชยการบางบัวทอง,91/2,3,ศิริมงคล,บางกรวย-ไทรน้อย,บางรักพัฒนา,บางบัวทอง,นนทบุรี,02-9206440-1,13.8921154,100.4334577,รับอุดหนุน,เปิดกิจการ
106,1312100103,วิทยาลัยเทคโนโลยีวัฒนพฤกษาบริหารธุรกิจ,109/1,,,ภูมิเวท,ปากเกร็ด,ปากเกร็ด,นนทบุรี,29635051,13.9064591,100.5010196,รับอุดหนุน,เปิดกิจการ
